d,p,
"2013-08-08,四",1185.96,
"2013-08-09,五",1172.52,
"2013-08-12,一",1161.87,
"2013-08-13,二",1172.33,
"2013-08-14,三",1180.66,
"2013-08-15,四",1167.09,
"2013-08-16,五",1132.09,
"2013-08-19,一",1171.4,
"2013-08-20,二",1175.78,
"2013-08-21,三",1181.34,
"2013-08-22,四",1197.13,
"2013-08-23,五",1219.83,
"2013-08-26,一",1238.17,
"2013-08-27,二",1250.75,
"2013-08-28,三",1228,
"2013-08-29,四",1226.3,
"2013-08-30,五",1185.15,
"2013-09-02,一",1210.19,
"2013-09-03,二",1234.59,
"2013-09-04,三",1236.35,
"2013-09-05,四",1267.26,
"2013-09-06,五",1282.75,
"2013-09-09,一",1275.91,
"2013-09-10,二",1263.59,
"2013-09-11,三",1220.71,
"2013-09-12,四",1220.63,
"2013-09-13,五",1253.45,
"2013-09-16,一",1278.8,
"2013-09-17,二",1269.36,
"2013-09-18,三",1289.64,
"2013-09-23,一",1326.09,
"2013-09-24,二",1328.4,
"2013-09-25,三",1323.04,
"2013-09-26,四",1306.34,
"2013-09-27,五",1323.76,
"2013-09-30,一",1367.91,
"2013-10-08,二",1387.66,
"2013-10-09,三",1415.83,
"2013-10-10,四",1378.15,
"2013-10-11,五",1379.9,
"2013-10-14,一",1393.6,
"2013-10-15,二",1389.75,
"2013-10-16,三",1335.1,
"2013-10-17,四",1322.99,
"2013-10-18,五",1349.94,
"2013-10-21,一",1400.97,
"2013-10-22,二",1350.47,
"2013-10-23,三",1311.23,
"2013-10-24,四",1295.93,
"2013-10-25,五",1269.17,
"2013-10-28,一",1279.05,
"2013-10-29,二",1261.68,
"2013-10-30,三",1273.29,
"2013-10-31,四",1235.56,
"2013-11-01,五",1221.96,
"2013-11-04,一",1222.46,
"2013-11-05,二",1260.03,
"2013-11-06,三",1241.79,
"2013-11-07,四",1224.05,
"2013-11-08,五",1211.11,
"2013-11-11,一",1212.69,
"2013-11-12,二",1228.35,
"2013-11-13,三",1212.08,
"2013-11-14,四",1249.67,
"2013-11-15,五",1269.05,
"2013-11-18,一",1291.15,
"2013-11-19,二",1298.17,
"2013-11-20,三",1299.26,
"2013-11-21,四",1298.95,
"2013-11-22,五",1295.07,
"2013-11-25,一",1293.8,
"2013-11-26,二",1291.85,
"2013-11-27,三",1329.48,
"2013-11-28,四",1336.66,
"2013-11-29,五",1366.83,
"2013-12-02,一",1253.93,
"2013-12-03,二",1255.33,
"2013-12-04,三",1240.29,
"2013-12-05,四",1202.07,
"2013-12-06,五",1206.78,
"2013-12-09,一",1241.72,
"2013-12-10,二",1231.92,
"2013-12-11,三",1244.51,
"2013-12-12,四",1279.32,
"2013-12-13,五",1278.14,
"2013-12-16,一",1279.96,
"2013-12-17,二",1267.67,
"2013-12-18,三",1256,
"2013-12-19,四",1256.08,
"2013-12-20,五",1253.71,
"2013-12-23,一",1242.81,
"2013-12-24,二",1258.82,
"2013-12-25,三",1288.34,
"2013-12-26,四",1269.54,
"2013-12-27,五",1294.3,
"2013-12-30,一",1307.99,
"2013-12-31,二",1304.44,
"2014-01-02,四",1333,
"2014-01-03,五",1352.84,
"2014-01-06,一",1323.33,
"2014-01-07,二",1352.28,
"2014-01-08,三",1405.02,
"2014-01-09,四",1380.24,
"2014-01-10,五",1353.3,
"2014-01-13,一",1362.79,
"2014-01-14,二",1400.92,
"2014-01-15,三",1415.32,
"2014-01-16,四",1395.16,
"2014-01-17,五",1395.51,
"2014-01-20,一",1372.74,
"2014-01-21,二",1407.15,
"2014-01-22,三",1431.74,
"2014-01-23,四",1461.53,
"2014-01-24,五",1484.43,
"2014-01-27,一",1477.67,
"2014-01-28,二",1471.34,
"2014-01-29,三",1496.53,
"2014-01-30,四",1495.98,
"2014-02-07,五",1532.69,
"2014-02-10,一",1553.42,
"2014-02-11,二",1527.15,
"2014-02-12,三",1539.97,
"2014-02-13,四",1485.13,
"2014-02-14,五",1515.78,
"2014-02-17,一",1558.62,
"2014-02-18,二",1545.34,
"2014-02-19,三",1544.4,
"2014-02-20,四",1515.16,
"2014-02-21,五",1519.67,
"2014-02-24,一",1540.03,
"2014-02-25,二",1472.69,
"2014-02-26,三",1465.99,
"2014-02-27,四",1414.66,
"2014-02-28,五",1434.89,
"2014-03-03,一",1465.14,
"2014-03-04,二",1460.45,
"2014-03-05,三",1464.58,
"2014-03-06,四",1462.53,
